RNASeq_R1	RNASeq_R2	fastq
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R2	R23
20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R2	R24
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R2	R25
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R2	R26
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R2	R27
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R2	R28
20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R2	R29
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R2	R30
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R2	R31
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R2	R32
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R2	R33
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R2	R34
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R2	R35
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R2	R36
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R2	R37
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R2	R38r
20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R2	R39
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R2	R40
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R2	R41
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R2	R42
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R2	R43
20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R2	R44
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R2	R45
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R2	R46
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R2	R47
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R2	R48
20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R2	R49
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R2	R50
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R2	R51
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R2	R52
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R2	R53
20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R2	R54
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R2	R55
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R2	R56
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R2	R57
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R2	R58
20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R2	R59
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R2	R60
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R2	R61
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R2	R62
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R2	R63
20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R2	R64
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R2	R65
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R2	R66
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R2	R67
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R2	R68
20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R2	R69
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R2	R70
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R2	R71
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R2	R72
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R2	R73
20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R2	R74
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R2	R75
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R2	R76
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R2	R77
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R2	R78
20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R2	R79
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R2	R80
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R2	R81
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R2	R82
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R2	R83
20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R2	R84
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R2	R85
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R2	R86
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R2	R87
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R2	R88
20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R2	R89
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R2	R90
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R2	R91
20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R2	R92
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R2	R93r
20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R2	R94
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R2	R95
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R2	R96
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R2	R97
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R2	R98
20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R2	R99
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R2	R100
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R2	R101
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R2	R102
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R2	R103
20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R2	R104
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R2	R105
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R2	R106
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R2	R107
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R2	R108
20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R2	R109
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R1	20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R2	R110
20210610T1400_CBASS_US_MoteOff_Past_1_only_seq_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_only_seq_RNASeq_R2	R272
20210610T1400_CBASS_US_MoteOff_Past_2_only_seq_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_only_seq_RNASeq_R2	R273
20210610T1400_CBASS_US_MoteOff_Past_3_only_seq_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_only_seq_RNASeq_R2	R274
20210610T1400_CBASS_US_MoteOff_Past_4_only_seq_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_only_seq_RNASeq_R2	R275
20210610T1400_CBASS_US_MoteOff_Past_5_only_seq_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_only_seq_RNASeq_R2	R276
20210610T1400_CBASS_US_MoteOff_Past_1_T0_0_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_T0_0_RNASeq_R2	R277
20210610T1400_CBASS_US_MoteOff_Past_2_T0_0_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_T0_0_RNASeq_R2	R278
20210610T1400_CBASS_US_MoteOff_Past_3_T0_0_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_T0_0_RNASeq_R2	R279
20210610T1400_CBASS_US_MoteOff_Past_4_T0_0_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_T0_0_RNASeq_R2	R280
20210610T1400_CBASS_US_MoteOff_Past_5_T0_0_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_T0_0_RNASeq_R2	R281
20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R2	R282
20210610T1400_CBASS_US_MoteOff_Past_2_30_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_30_180_RNASeq_R2	R283r
20210610T1400_CBASS_US_MoteOff_Past_3_30_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_30_180_RNASeq_R2	R284
20210610T1400_CBASS_US_MoteOff_Past_4_30_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_30_180_RNASeq_R2	R285
20210610T1400_CBASS_US_MoteOff_Past_5_30_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_30_180_RNASeq_R2	R286r
20210610T1400_CBASS_US_MoteOff_Past_1_34_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_34_180_RNASeq_R2	R287
20210610T1400_CBASS_US_MoteOff_Past_2_34_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_34_180_RNASeq_R2	R288
20210610T1400_CBASS_US_MoteOff_Past_3_34_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_34_180_RNASeq_R2	R289
20210610T1400_CBASS_US_MoteOff_Past_4_34_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_34_180_RNASeq_R2	R290
20210610T1400_CBASS_US_MoteOff_Past_5_34_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_34_180_RNASeq_R2	R291
20210610T1400_CBASS_US_MoteOff_Past_1_37_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_37_180_RNASeq_R2	R292
20210610T1400_CBASS_US_MoteOff_Past_2_37_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_37_180_RNASeq_R2	R293
20210610T1400_CBASS_US_MoteOff_Past_3_37_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_37_180_RNASeq_R2	R294
20210610T1400_CBASS_US_MoteOff_Past_4_37_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_37_180_RNASeq_R2	R295
20210610T1400_CBASS_US_MoteOff_Past_5_37_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_37_180_RNASeq_R2	R296
20210610T1400_CBASS_US_MoteOff_Past_1_39_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_39_180_RNASeq_R2	R297
20210610T1400_CBASS_US_MoteOff_Past_2_39_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_39_180_RNASeq_R2	R298
20210610T1400_CBASS_US_MoteOff_Past_3_39_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_39_180_RNASeq_R2	R299
20210610T1400_CBASS_US_MoteOff_Past_4_39_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_39_180_RNASeq_R2	R300
20210610T1400_CBASS_US_MoteOff_Past_5_39_180_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_39_180_RNASeq_R2	R301
20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R2	R302
20210610T1400_CBASS_US_MoteOff_Past_2_30_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_30_360_RNASeq_R2	R303
20210610T1400_CBASS_US_MoteOff_Past_3_30_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_30_360_RNASeq_R2	R304
20210610T1400_CBASS_US_MoteOff_Past_4_30_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_30_360_RNASeq_R2	R305
20210610T1400_CBASS_US_MoteOff_Past_5_30_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_30_360_RNASeq_R2	R306
20210610T1400_CBASS_US_MoteOff_Past_1_34_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_34_360_RNASeq_R2	R307
20210610T1400_CBASS_US_MoteOff_Past_2_34_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_34_360_RNASeq_R2	R308
20210610T1400_CBASS_US_MoteOff_Past_3_34_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_34_360_RNASeq_R2	R309
20210610T1400_CBASS_US_MoteOff_Past_4_34_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_34_360_RNASeq_R2	R310
20210610T1400_CBASS_US_MoteOff_Past_5_34_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_34_360_RNASeq_R2	R311
20210610T1400_CBASS_US_MoteOff_Past_1_37_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_37_360_RNASeq_R2	R312
20210610T1400_CBASS_US_MoteOff_Past_2_37_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_37_360_RNASeq_R2	R313
20210610T1400_CBASS_US_MoteOff_Past_3_37_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_37_360_RNASeq_R2	R314
20210610T1400_CBASS_US_MoteOff_Past_4_37_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_37_360_RNASeq_R2	R315r
20210610T1400_CBASS_US_MoteOff_Past_5_37_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_37_360_RNASeq_R2	R316
20210610T1400_CBASS_US_MoteOff_Past_1_39_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_39_360_RNASeq_R2	R317
20210610T1400_CBASS_US_MoteOff_Past_2_39_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_39_360_RNASeq_R2	R318
20210610T1400_CBASS_US_MoteOff_Past_3_39_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_39_360_RNASeq_R2	R319
20210610T1400_CBASS_US_MoteOff_Past_4_39_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_39_360_RNASeq_R2	R320
20210610T1400_CBASS_US_MoteOff_Past_5_39_360_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_39_360_RNASeq_R2	R321
20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R2	R322r
20210610T1400_CBASS_US_MoteOff_Past_2_30_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_30_420_RNASeq_R2	R323
20210610T1400_CBASS_US_MoteOff_Past_3_30_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_30_420_RNASeq_R2	R324
20210610T1400_CBASS_US_MoteOff_Past_4_30_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_30_420_RNASeq_R2	R325
20210610T1400_CBASS_US_MoteOff_Past_5_30_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_30_420_RNASeq_R2	R326
20210610T1400_CBASS_US_MoteOff_Past_1_34_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_34_420_RNASeq_R2	R327
20210610T1400_CBASS_US_MoteOff_Past_2_34_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_34_420_RNASeq_R2	R328
20210610T1400_CBASS_US_MoteOff_Past_3_34_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_34_420_RNASeq_R2	R329
20210610T1400_CBASS_US_MoteOff_Past_4_34_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_34_420_RNASeq_R2	R330
20210610T1400_CBASS_US_MoteOff_Past_5_34_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_34_420_RNASeq_R2	R331
20210610T1400_CBASS_US_MoteOff_Past_1_37_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_37_420_RNASeq_R2	R332
20210610T1400_CBASS_US_MoteOff_Past_2_37_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_37_420_RNASeq_R2	R333
20210610T1400_CBASS_US_MoteOff_Past_3_37_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_37_420_RNASeq_R2	R334
20210610T1400_CBASS_US_MoteOff_Past_4_37_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_37_420_RNASeq_R2	R335
20210610T1400_CBASS_US_MoteOff_Past_5_37_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_37_420_RNASeq_R2	R336
