Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_2kenkel	14814877.0	289.0	8565282.0	57.82	269.65	9363.0	0.0	9169.0	194.0	0.0	0.0	0.32	0.03	1.11	0.06	1.08	274945.0	1.86	441.0	0.0	5.03	35.3	0.0	745110	5229099	0
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_2kenkel	19817372.0	244.0	10459620.0	52.78	219.8	12668.0	0.0	12457.0	195.0	16.0	0.0	0.35	0.03	1.22	0.06	1.13	1668523.0	8.42	3938.0	0.02	6.83	31.94	0.0	1353896	6331395	0
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_2kenkel	16607628.0	298.0	11592724.0	69.8	273.04	13594.0	0.0	13339.0	255.0	0.0	0.0	0.28	0.03	1.14	0.06	1.09	134650.0	0.81	2847.0	0.02	3.14	26.23	0.0	521452	4355955	0
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_2kenkel	13527318.0	297.0	6595820.0	48.76	268.85	19703.0	0.0	19397.0	260.0	46.0	0.0	0.44	0.04	1.24	0.07	1.12	105912.0	0.78	5773.0	0.04	7.08	43.33	0.0	957831	5861982	0
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_2kenkel	17778065.0	294.0	11749689.0	66.09	267.89	15361.0	0.0	15066.0	295.0	0.0	0.0	0.32	0.03	1.12	0.06	1.08	134552.0	0.76	911.0	0.01	3.74	29.4	0.0	665042	5227871	0
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_2kenkel	20760705.0	222.0	2988170.0	14.39	32.83	34.0	0.0	14.0	20.0	0.0	0.0	0.21	0.01	1.1	0.01	1.21	2288727.0	11.02	959.0	0.0	9.4	65.18	0.0	1951445	13531404	0
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_2kenkel	16415592.0	281.0	7432107.0	45.27	251.39	33258.0	0.0	32861.0	365.0	32.0	0.0	0.47	0.04	1.32	0.06	1.15	507714.0	3.09	15538.0	0.09	9.2	42.33	0.01	1510170	6948422	1641
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_2kenkel	14756220.0	297.0	3388031.0	22.96	263.47	34396.0	0.0	34234.0	148.0	14.0	0.0	0.56	0.04	1.44	0.08	1.14	72060.0	0.49	4961.0	0.03	7.41	69.1	0.0	1093551	10197617	0
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_2kenkel	18827662.0	291.0	1652923.0	8.78	235.48	10412.0	0.0	10412.0	0.0	0.0	0.0	0.56	0.04	1.42	0.07	1.11	159299.0	0.85	3389.0	0.02	6.46	83.89	0.0	1216357	15795694	0
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_2kenkel	17640652.0	297.0	1404811.0	7.96	264.08	12448.0	0.0	12406.0	41.0	1.0	0.0	0.53	0.04	1.4	0.07	1.14	29083.0	0.16	2577.0	0.01	2.75	89.11	0.0	485102	15719079	0
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_2kenkel	21082848.0	293.0	14100870.0	66.88	269.69	8674.0	0.0	8467.0	196.0	11.0	0.0	0.33	0.04	1.17	0.05	1.12	318669.0	1.51	840.0	0.0	3.03	28.57	0.0	638838	6023631	0
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_2kenkel	23783430.0	296.0	13181693.0	55.42	267.1	12785.0	0.0	12518.0	223.0	44.0	0.0	0.34	0.04	1.19	0.05	1.14	236559.0	0.99	1806.0	0.01	4.0	39.57	0.0	951423	9411949	0
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_2kenkel	14865639.0	298.0	6200636.0	41.71	266.75	11448.0	0.0	11172.0	236.0	40.0	0.0	0.46	0.06	1.41	0.07	1.28	129462.0	0.87	5024.0	0.03	4.51	52.87	0.01	670372	7858659	1486
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_2kenkel	18889385.0	284.0	13613139.0	72.07	264.71	2970.0	0.0	2875.0	65.0	30.0	0.0	0.23	0.03	1.11	0.05	1.09	518563.0	2.75	601.0	0.0	2.84	22.35	0.0	536328	4220754	0
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_2kenkel	16181882.0	297.0	10862286.0	67.13	273.16	6160.0	0.0	5993.0	111.0	56.0	0.0	0.28	0.04	1.18	0.06	1.13	134186.0	0.83	2321.0	0.01	2.95	29.08	0.0	477368	4705721	0
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_2kenkel	18813515.0	298.0	12973197.0	68.96	274.15	4689.0	0.0	4486.0	183.0	20.0	0.0	0.24	0.03	1.15	0.05	1.1	149451.0	0.79	1847.0	0.01	2.37	27.87	0.0	445866	5243154	0
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_2kenkel	11251931.0	298.0	8134939.0	72.3	275.01	4247.0	0.0	4102.0	122.0	23.0	0.0	0.27	0.03	1.15	0.06	1.11	97241.0	0.86	1212.0	0.01	2.49	24.33	0.0	280245	2738294	0
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_2kenkel	18636511.0	298.0	13696863.0	73.49	274.61	5405.0	0.0	5191.0	175.0	39.0	0.0	0.27	0.03	1.15	0.05	1.1	158614.0	0.85	956.0	0.01	2.4	23.25	0.0	447259	4332819	0
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_2kenkel	19937375.0	289.0	14732932.0	73.9	267.93	6832.0	0.0	6676.0	129.0	27.0	0.0	0.24	0.03	1.13	0.05	1.09	395801.0	1.99	1088.0	0.01	2.7	21.41	0.0	538382	4269172	0
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_2kenkel	15282245.0	297.0	7623240.0	49.88	274.35	3848.0	0.0	3845.0	3.0	0.0	0.0	0.28	0.03	1.17	0.06	1.12	106191.0	0.69	7980.0	0.05	3.68	45.69	0.0	562386	6982448	0
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_2kenkel	15359771.0	297.0	10117785.0	65.87	273.99	5267.0	0.0	5093.0	119.0	55.0	0.0	0.28	0.03	1.16	0.06	1.11	120032.0	0.78	8018.0	0.05	2.84	30.45	0.0	436275	4677661	0
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_2kenkel	16703726.0	297.0	12233208.0	73.24	274.95	4696.0	0.0	4489.0	161.0	46.0	0.0	0.28	0.03	1.14	0.05	1.11	140864.0	0.84	1597.0	0.01	2.67	23.24	0.0	446002	3882055	0
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_2kenkel	18027532.0	295.0	12521491.0	69.46	274.71	5511.0	0.0	5264.0	213.0	34.0	0.0	0.25	0.03	1.08	0.06	1.07	194723.0	1.08	700.0	0.0	3.47	25.99	0.0	625521	4685097	0
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_2kenkel	16747162.0	291.0	9923954.0	59.26	266.67	18329.0	0.0	18093.0	203.0	33.0	0.0	0.32	0.04	1.17	0.06	1.13	293951.0	1.76	3141.0	0.02	4.37	34.59	0.0	732010	5794106	0
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_2kenkel	17188692.0	298.0	11381446.0	66.21	271.59	16205.0	0.0	16070.0	125.0	10.0	0.0	0.28	0.03	1.14	0.06	1.08	126067.0	0.73	1917.0	0.01	3.81	29.23	0.0	654903	5024359	0
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_2kenkel	19463543.0	297.0	12784594.0	65.68	271.37	19263.0	0.0	19024.0	215.0	24.0	0.0	0.29	0.03	1.11	0.06	1.09	149977.0	0.77	2183.0	0.01	3.9	29.63	0.0	759155	5767634	0
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_2kenkel	19766991.0	298.0	12575788.0	63.62	272.21	18594.0	0.0	18251.0	322.0	21.0	0.0	0.32	0.03	1.15	0.06	1.1	160058.0	0.81	2173.0	0.01	3.9	31.66	0.0	770894	6258078	0
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_2kenkel	25906004.0	217.0	4309599.0	16.64	50.75	1808.0	0.0	1742.0	66.0	0.0	0.0	0.64	0.01	1.07	0.02	1.25	3206234.0	12.38	1488.0	0.01	13.5	57.48	0.0	3497425	14891258	0
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_2kenkel	17082241.0	253.0	5335595.0	31.23	198.39	11374.0	0.0	11069.0	287.0	18.0	0.0	0.37	0.03	1.24	0.06	1.13	1177914.0	6.9	5375.0	0.03	4.53	57.31	0.0	773803	9789554	0
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_2kenkel	14069472.0	293.0	1521187.0	10.81	225.38	15692.0	0.0	15692.0	0.0	0.0	0.0	0.63	0.05	1.3	0.08	1.19	59942.0	0.43	154.0	0.0	5.46	83.3	0.0	768201	11719988	0
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_2kenkel	19811108.0	298.0	275120.0	1.39	237.28	2996.0	0.0	2977.0	17.0	2.0	0.0	0.96	0.04	1.39	0.06	1.24	11472.0	0.06	240.0	0.0	3.26	95.29	0.0	645856	18878420	0
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_2kenkel	23317924.0	296.0	5489096.0	23.54	256.34	61084.0	0.0	60531.0	504.0	49.0	0.0	0.68	0.06	1.32	0.09	1.14	204993.0	0.88	609.0	0.0	8.4	67.17	0.0	1958914	15664312	0
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_2kenkel	21063457.0	296.0	12058093.0	57.25	269.72	11300.0	0.0	11087.0	158.0	55.0	0.0	0.33	0.04	1.23	0.06	1.16	230437.0	1.09	2769.0	0.01	3.28	38.36	0.0	690987	8081171	0
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_2kenkel	17546033.0	293.0	12470879.0	71.08	270.17	8038.0	0.0	7843.0	186.0	9.0	0.0	0.26	0.03	1.16	0.05	1.11	286861.0	1.63	2675.0	0.02	2.54	24.73	0.0	445745	4339873	0
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_2kenkel	13431668.0	270.0	9222901.0	68.67	256.15	1928.0	0.0	1881.0	47.0	0.0	0.0	0.22	0.03	1.1	0.05	1.08	613061.0	4.56	583.0	0.0	3.31	23.46	0.0	444522	3150601	0
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_2kenkel	18110822.0	298.0	13447773.0	74.25	273.15	4135.0	0.0	3941.0	156.0	38.0	0.0	0.26	0.04	1.13	0.05	1.11	138650.0	0.77	1201.0	0.01	2.46	22.51	0.0	445617	4077581	0
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_2kenkel	17296668.0	298.0	12954669.0	74.9	275.77	3810.0	0.0	3621.0	175.0	14.0	0.0	0.23	0.03	1.11	0.05	1.09	134177.0	0.78	369.0	0.0	2.14	22.18	0.0	370228	3837225	0
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_2kenkel	17836826.0	298.0	12273250.0	68.81	275.25	4704.0	0.0	4484.0	194.0	26.0	0.0	0.27	0.04	1.14	0.05	1.11	133831.0	0.75	1774.0	0.01	2.91	27.51	0.0	519244	4908727	0
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_2kenkel	24002433.0	298.0	17238584.0	71.82	274.74	6123.0	0.0	5858.0	235.0	30.0	0.0	0.28	0.03	1.13	0.05	1.1	193465.0	0.81	218.0	0.0	2.75	24.62	0.0	660137	5910029	0
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_2kenkel	19533164.0	285.0	14470626.0	74.08	266.73	5337.0	0.0	5181.0	143.0	13.0	0.0	0.23	0.03	1.1	0.05	1.08	479261.0	2.45	2272.0	0.01	2.86	20.59	0.0	558707	4022298	0
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_2kenkel	15766267.0	297.0	8991550.0	57.03	275.57	1054.0	0.0	998.0	56.0	0.0	0.0	0.23	0.02	1.09	0.06	1.08	98153.0	0.62	286.0	0.0	4.68	37.66	0.0	737954	5938324	0
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_2kenkel	16079906.0	298.0	12407003.0	77.16	277.62	3191.0	0.0	3036.0	150.0	5.0	0.0	0.22	0.03	1.09	0.05	1.08	113462.0	0.71	1105.0	0.01	2.01	20.11	0.0	323339	3234997	0
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_2kenkel	19974518.0	298.0	16105522.0	80.63	278.79	3447.0	0.0	3268.0	133.0	46.0	0.0	0.22	0.03	1.09	0.05	1.09	134174.0	0.67	899.0	0.0	1.92	16.77	0.0	383581	3350342	0
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_2kenkel	16017086.0	297.0	7353913.0	45.91	268.95	19020.0	0.0	18639.0	372.0	9.0	0.0	0.4	0.04	1.21	0.06	1.14	128465.0	0.8	2714.0	0.02	5.63	47.64	0.0	901729	7630265	0
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_2kenkel	21750559.0	251.0	16116357.0	74.1	243.85	4896.0	0.0	4766.0	127.0	3.0	0.0	0.22	0.03	1.09	0.05	1.08	1592996.0	7.32	1400.0	0.01	3.8	14.77	0.0	826670	3213136	0
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_2kenkel	16516775.0	297.0	6850889.0	41.48	266.84	24805.0	0.0	24286.0	474.0	45.0	0.0	0.45	0.04	1.27	0.07	1.14	105771.0	0.64	26574.0	0.16	9.78	47.93	0.01	1615351	7916539	1652
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_2kenkel	23302467.0	297.0	7740837.0	33.22	262.3	36068.0	0.0	35693.0	349.0	26.0	0.0	0.52	0.04	1.28	0.07	1.17	147213.0	0.63	22772.0	0.1	9.29	56.76	0.01	2164523	13224792	2330
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_2kenkel	15390886.0	298.0	7241088.0	47.05	266.86	24639.0	0.0	24254.0	357.0	28.0	0.0	0.4	0.04	1.22	0.06	1.15	114706.0	0.75	6164.0	0.04	5.87	46.29	0.0	903562	7125366	0
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_2kenkel	28145563.0	211.0	4934158.0	17.53	50.52	1471.0	0.0	1457.0	14.0	0.0	0.0	0.3	0.02	1.63	0.04	1.23	3670231.0	13.04	1729.0	0.01	9.29	60.13	0.0	2614829	16924616	0
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_2kenkel	11896040.0	231.0	7358748.0	61.86	219.19	8592.0	0.0	8550.0	32.0	10.0	0.0	0.24	0.03	1.11	0.05	1.08	1218319.0	10.24	2657.0	0.02	5.46	22.42	0.0	649465	2666851	0
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_2kenkel	5430835.0	288.0	1203806.0	22.17	258.54	12618.0	0.0	12527.0	83.0	8.0	0.0	0.63	0.03	1.34	0.07	1.17	100098.0	1.84	64473.0	1.19	8.68	66.07	0.05	471419	3588324	2716
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_2kenkel	17587328.0	297.0	6710871.0	38.16	269.86	57334.0	0.0	56712.0	590.0	32.0	0.0	0.58	0.04	1.38	0.06	1.24	123674.0	0.7	14417.0	0.08	11.34	49.71	0.01	1994318	8742289	1759
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_2kenkel	25161034.0	297.0	5908505.0	23.48	262.47	60787.0	0.0	59929.0	757.0	101.0	0.0	0.61	0.04	1.4	0.08	1.17	191800.0	0.76	5225.0	0.02	9.01	66.73	0.0	2266835	16788669	0
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_2kenkel	19146686.0	286.0	11487271.0	60.0	263.89	7936.0	0.0	7735.0	163.0	38.0	0.0	0.29	0.04	1.17	0.05	1.14	439452.0	2.3	2206.0	0.01	3.88	33.82	0.0	742835	6474922	0
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_2kenkel	23311521.0	297.0	15394946.0	66.04	269.85	9813.0	0.0	9463.0	253.0	97.0	0.0	0.3	0.04	1.17	0.05	1.14	255633.0	1.1	1143.0	0.0	3.5	29.36	0.0	815864	6843935	0
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_2kenkel	21596646.0	298.0	13688847.0	63.38	271.91	9703.0	0.0	9392.0	255.0	56.0	0.0	0.33	0.04	1.19	0.06	1.15	209012.0	0.97	2447.0	0.01	3.09	32.55	0.0	667275	7029065	0
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_2kenkel	18852011.0	290.0	14378863.0	76.27	272.5	5624.0	0.0	5436.0	165.0	23.0	0.0	0.24	0.03	1.11	0.05	1.1	339550.0	1.8	1336.0	0.01	2.56	19.36	0.0	482600	3649662	0
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_2kenkel	17715541.0	298.0	12608927.0	71.17	275.11	4208.0	0.0	3958.0	186.0	64.0	0.0	0.25	0.03	1.12	0.05	1.11	135519.0	0.76	274.0	0.0	2.49	25.57	0.0	441103	4529718	0
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_2kenkel	15811703.0	297.0	9573756.0	60.55	279.39	1847.0	0.0	1743.0	104.0	0.0	0.0	0.26	0.03	1.08	0.06	1.06	107246.0	0.68	196.0	0.0	1.92	36.85	0.0	303600	5826905	0
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_2kenkel	18014808.0	297.0	14267581.0	79.2	279.15	2904.0	0.0	2817.0	67.0	20.0	0.0	0.23	0.03	1.09	0.06	1.07	128730.0	0.71	809.0	0.0	1.99	18.09	0.0	358526	3259162	0
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_2kenkel	34002540.0	298.0	26824750.0	78.89	279.55	4769.0	0.0	4375.0	368.0	26.0	0.0	0.23	0.03	1.09	0.06	1.07	255957.0	0.75	226.0	0.0	1.86	18.5	0.0	632328	6289279	0
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_2kenkel	15774195.0	217.0	10668642.0	67.63	214.8	1839.0	0.0	1783.0	56.0	0.0	0.0	0.21	0.03	1.09	0.05	1.07	1927277.0	12.22	1565.0	0.01	5.1	15.04	0.0	804430	2372281	0
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_2kenkel	16403807.0	298.0	12328039.0	75.15	278.73	3034.0	0.0	2917.0	117.0	0.0	0.0	0.23	0.03	1.09	0.06	1.08	115543.0	0.7	373.0	0.0	2.31	21.83	0.0	378925	3580927	0
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_2kenkel	15969281.0	297.0	11858252.0	74.26	274.99	3925.0	0.0	3776.0	137.0	12.0	0.0	0.25	0.03	1.1	0.05	1.09	120288.0	0.75	1284.0	0.01	2.46	22.52	0.0	392877	3596580	0
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_2kenkel	23554245.0	298.0	18797381.0	79.8	278.27	3646.0	0.0	3427.0	204.0	15.0	0.0	0.23	0.03	1.1	0.05	1.08	165199.0	0.7	725.0	0.0	1.77	17.72	0.0	416930	4174010	0
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_2kenkel	17799152.0	297.0	7604437.0	42.72	267.33	26278.0	0.0	25879.0	386.0	13.0	0.0	0.41	0.04	1.2	0.06	1.13	140644.0	0.79	7007.0	0.04	5.9	50.54	0.0	1050278	8996786	0
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_2kenkel	15251968.0	292.0	11729153.0	76.9	273.8	8269.0	0.0	8051.0	176.0	42.0	0.0	0.23	0.03	1.09	0.05	1.08	222928.0	1.46	1183.0	0.01	2.69	18.94	0.0	410241	2888463	0
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_2kenkel	15476473.0	297.0	8282727.0	53.52	268.11	18925.0	0.0	18544.0	352.0	29.0	0.0	0.36	0.04	1.19	0.06	1.12	115073.0	0.74	8374.0	0.05	7.49	38.19	0.01	1159040	5909712	1547
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_2kenkel	16887426.0	298.0	7154354.0	42.36	264.15	32490.0	0.0	31880.0	575.0	35.0	0.0	0.44	0.04	1.23	0.06	1.15	115058.0	0.68	10169.0	0.06	7.53	49.36	0.01	1271478	8334679	1689
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_2kenkel	11725039.0	298.0	5751603.0	49.05	268.17	15034.0	0.0	14766.0	242.0	26.0	0.0	0.39	0.04	1.2	0.06	1.15	94498.0	0.81	4093.0	0.03	5.1	45.01	0.0	597919	5276926	0
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_2kenkel	19711941.0	277.0	985903.0	5.0	82.72	463.0	0.0	463.0	0.0	0.0	0.0	0.46	0.03	1.2	0.04	1.07	632479.0	3.21	753.0	0.0	3.81	87.98	0.0	750992	17341814	0
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_2kenkel	23124244.0	165.0	12619283.0	54.57	147.45	7376.0	0.0	7214.0	162.0	0.0	0.0	0.22	0.03	1.1	0.05	1.07	4522808.0	19.56	4575.0	0.02	7.07	18.78	0.0	1634873	4342705	0
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_2kenkel	14707616.0	296.0	1997130.0	13.58	254.54	15679.0	0.0	15232.0	447.0	0.0	0.0	0.6	0.04	1.42	0.08	1.14	50304.0	0.34	784.0	0.01	7.51	78.56	0.0	1104590	11554808	0
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_2kenkel	20282867.0	295.0	7714719.0	38.04	266.14	57604.0	0.0	57265.0	339.0	0.0	0.0	0.42	0.04	1.24	0.06	1.14	168028.0	0.83	6622.0	0.03	7.87	53.23	0.01	1596086	10795384	2028
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_2kenkel	20923201.0	297.0	2844007.0	13.59	259.42	21511.0	0.0	21327.0	184.0	0.0	0.0	0.61	0.04	1.41	0.08	1.13	52404.0	0.25	4713.0	0.02	6.82	79.31	0.0	1427035	16595042	0
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_2kenkel	19200008.0	271.0	12991894.0	67.67	256.9	2739.0	0.0	2648.0	62.0	29.0	0.0	0.22	0.03	1.11	0.06	1.09	830035.0	4.32	704.0	0.0	4.93	23.08	0.0	946464	4430911	0
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_2kenkel	19264602.0	297.0	15191963.0	78.86	275.55	3994.0	0.0	3843.0	109.0	42.0	0.0	0.22	0.03	1.09	0.05	1.07	174420.0	0.91	236.0	0.0	1.77	18.46	0.0	341049	3556934	0
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_2kenkel	20922147.0	284.0	14463517.0	69.13	262.93	4760.0	0.0	4551.0	185.0	24.0	0.0	0.28	0.03	1.13	0.04	1.11	807026.0	3.86	2207.0	0.01	3.18	23.82	0.0	665373	4984024	0
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_2kenkel	16756614.0	296.0	7231551.0	43.16	269.98	2258.0	0.0	2134.0	124.0	0.0	0.0	0.29	0.03	1.17	0.04	1.12	224010.0	1.34	439.0	0.0	5.18	50.33	0.0	867901	8432713	0
