Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_2kenkel	17238584.0	193465.0	218.0	660137.0	5910029.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_2kenkel	14470626.0	479261.0	2272.0	558707.0	4022298.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_2kenkel	8991550.0	98153.0	286.0	737954.0	5938324.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_2kenkel	12407003.0	113462.0	1105.0	323339.0	3234997.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_2kenkel	16105522.0	134174.0	899.0	383581.0	3350342.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_2kenkel	7353913.0	128465.0	2714.0	901729.0	7630265.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_2kenkel	16116357.0	1592996.0	1400.0	826670.0	3213136.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_2kenkel	6850889.0	105771.0	26574.0	1615351.0	7916539.0	1652.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_2kenkel	7740837.0	147213.0	22772.0	2164523.0	13224792.0	2330.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_2kenkel	7241088.0	114706.0	6164.0	903562.0	7125366.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_2kenkel	4934158.0	3670231.0	1729.0	2614829.0	16924616.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_2kenkel	7358748.0	1218319.0	2657.0	649465.0	2666851.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_2kenkel	1203806.0	100098.0	64473.0	471419.0	3588324.0	2716.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_2kenkel	6710871.0	123674.0	14417.0	1994318.0	8742289.0	1759.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_2kenkel	5908505.0	191800.0	5225.0	2266835.0	16788669.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_2kenkel	11487271.0	439452.0	2206.0	742835.0	6474922.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_2kenkel	15394946.0	255633.0	1143.0	815864.0	6843935.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_2kenkel	13688847.0	209012.0	2447.0	667275.0	7029065.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_2kenkel	14378863.0	339550.0	1336.0	482600.0	3649662.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_2kenkel	12608927.0	135519.0	274.0	441103.0	4529718.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_2kenkel	9573756.0	107246.0	196.0	303600.0	5826905.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_2kenkel	14267581.0	128730.0	809.0	358526.0	3259162.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_2kenkel	26824750.0	255957.0	226.0	632328.0	6289279.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_2kenkel	10668642.0	1927277.0	1565.0	804430.0	2372281.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_2kenkel	12328039.0	115543.0	373.0	378925.0	3580927.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_2kenkel	11858252.0	120288.0	1284.0	392877.0	3596580.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_2kenkel	18797381.0	165199.0	725.0	416930.0	4174010.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_2kenkel	7604437.0	140644.0	7007.0	1050278.0	8996786.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_2kenkel	11729153.0	222928.0	1183.0	410241.0	2888463.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_2kenkel	8282727.0	115073.0	8374.0	1159040.0	5909712.0	1547.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_2kenkel	7154354.0	115058.0	10169.0	1271478.0	8334679.0	1689.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_2kenkel	5751603.0	94498.0	4093.0	597919.0	5276926.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_2kenkel	985903.0	632479.0	753.0	750992.0	17341814.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_2kenkel	12619283.0	4522808.0	4575.0	1634873.0	4342705.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_2kenkel	1997130.0	50304.0	784.0	1104590.0	11554808.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_2kenkel	7714719.0	168028.0	6622.0	1596086.0	10795384.0	2028.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_2kenkel	2844007.0	52404.0	4713.0	1427035.0	16595042.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_2kenkel	12991894.0	830035.0	704.0	946464.0	4430911.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_2kenkel	15191963.0	174420.0	236.0	341049.0	3556934.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_2kenkel	14463517.0	807026.0	2207.0	665373.0	4984024.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_2kenkel	7231551.0	224010.0	439.0	867901.0	8432713.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_2kenkel	9801166.0	338650.0	713.0	392459.0	3845527.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_2kenkel	11984282.0	364234.0	900.0	331808.0	3268629.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_2kenkel	15492546.0	498668.0	707.0	528495.0	5226226.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_2kenkel	10943174.0	626982.0	1936.0	730802.0	5307561.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_2kenkel	12656116.0	322375.0	467.0	629255.0	5283473.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_2kenkel	9781133.0	284379.0	1480.0	640447.0	6324414.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_2kenkel	12566131.0	378214.0	220.0	521651.0	4644142.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_2kenkel	11309288.0	380830.0	1695.0	976983.0	6676370.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_2kenkel	12746510.0	561360.0	846.0	553956.0	3615568.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_2kenkel	11718609.0	339646.0	3783.0	698727.0	4967350.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_2kenkel	6819639.0	217837.0	2998.0	931230.0	5350242.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_2kenkel	9901026.0	268312.0	1157.0	1342958.0	8833004.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_2kenkel	2967629.0	1854023.0	849.0	4314166.0	10688267.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_2kenkel	9892611.0	3200632.0	3187.0	1351153.0	6026959.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_2kenkel	619427.0	34034.0	392.0	1100572.0	13487337.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_2kenkel	308380.0	129176.0	101.0	843526.0	7683169.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_2kenkel	582279.0	21917.0	544.0	577298.0	18453887.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_2kenkel	10458144.0	414338.0	1496.0	894191.0	8884082.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_2kenkel	11194611.0	353254.0	590.0	550550.0	4532470.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_2kenkel	13491807.0	1135031.0	1085.0	570875.0	6593385.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_2kenkel	10566978.0	247429.0	1281.0	296726.0	2692617.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_2kenkel	11377562.0	983572.0	697.0	895244.0	9405723.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_2kenkel	6871845.0	194366.0	456.0	241947.0	3351025.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_750_RNASeq_2kenkel	8907429.0	1648468.0	2288.0	873417.0	10513917.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_1140_RNASeq_2kenkel	17525201.0	668587.0	822.0	611420.0	4178804.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_180_RNASeq_2kenkel	10612140.0	423502.0	1456.0	419772.0	4152464.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_360_RNASeq_2kenkel	6332502.0	831422.0	561.0	575883.0	10837751.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_420_RNASeq_2kenkel	3267997.0	132255.0	119.0	1104265.0	18123062.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_750_RNASeq_2kenkel	11846692.0	598407.0	524.0	490328.0	3404512.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_1140_RNASeq_2kenkel	8050464.0	745497.0	2768.0	884489.0	5306936.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_180_RNASeq_2kenkel	10869459.0	1088655.0	2249.0	1882060.0	6883616.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_360_RNASeq_2kenkel	7041787.0	318454.0	369.0	477500.0	5688070.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_420_RNASeq_2kenkel	10886589.0	265644.0	1669.0	614357.0	5785484.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_750_RNASeq_2kenkel	10367811.0	447242.0	3797.0	707165.0	5308789.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_1140_RNASeq_2kenkel	5431322.0	1402331.0	2875.0	1449019.0	8016059.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_180_RNASeq_2kenkel	10654915.0	416141.0	786.0	494850.0	3469965.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_360_RNASeq_2kenkel	5953158.0	160303.0	3139.0	919972.0	6122621.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_420_RNASeq_2kenkel	7800787.0	262708.0	8860.0	980729.0	6414957.0	1547.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_750_RNASeq_2kenkel	8907017.0	3615512.0	6050.0	2969184.0	13133700.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_T0_0_RNASeq_2kenkel	11905015.0	299995.0	522.0	385662.0	4176889.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_1_only_seq_RNASeq_2kenkel	6783723.0	355759.0	648.0	343282.0	12020724.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_1140_RNASeq_2kenkel	14850718.0	413464.0	2211.0	667770.0	5127293.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_180_RNASeq_2kenkel	11674608.0	286218.0	6412.0	671868.0	6078627.0	1871.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_360_RNASeq_2kenkel	9814893.0	606610.0	3717.0	644128.0	7279925.0	1835.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_420_RNASeq_2kenkel	12614109.0	246646.0	288.0	299746.0	4070689.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_750_RNASeq_2kenkel	13324312.0	430392.0	3166.0	518540.0	6381551.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_1140_RNASeq_2kenkel	11173408.0	627421.0	1427.0	542055.0	3056756.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_180_RNASeq_2kenkel	11484675.0	277101.0	7173.0	590477.0	4608437.0	1697.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_360_RNASeq_2kenkel	9865689.0	1048148.0	976.0	721743.0	9344892.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_420_RNASeq_2kenkel	12803027.0	239553.0	1498.0	411026.0	5148057.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_750_RNASeq_2kenkel	11724971.0	259129.0	1076.0	410499.0	3273028.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_1140_RNASeq_2kenkel	8094762.0	567578.0	2845.0	742491.0	4545665.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_180_RNASeq_2kenkel	11443395.0	666768.0	3277.0	780612.0	4807579.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_360_RNASeq_2kenkel	9564011.0	185748.0	648.0	327075.0	2747427.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_420_RNASeq_2kenkel	9002675.0	192825.0	1819.0	433949.0	5705736.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_750_RNASeq_2kenkel	16196463.0	913229.0	2807.0	895146.0	6929274.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_1140_RNASeq_2kenkel	4775809.0	1140412.0	4219.0	1215446.0	9156576.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_180_RNASeq_2kenkel	14589754.0	604182.0	2146.0	682899.0	4093398.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_360_RNASeq_2kenkel	7689889.0	215564.0	4167.0	859554.0	5677393.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_420_RNASeq_2kenkel	11240638.0	377094.0	8921.0	1225136.0	7234326.0	2008.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_750_RNASeq_2kenkel	8736178.0	1459359.0	10403.0	2080387.0	10829572.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_T0_0_RNASeq_2kenkel	11326751.0	991553.0	420.0	1020312.0	8695790.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_2_only_seq_RNASeq_2kenkel	10959460.0	287552.0	6709.0	673848.0	7268344.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_1140_RNASeq_2kenkel	14740816.0	1160223.0	1613.0	585408.0	3026558.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_360_RNASeq_2kenkel	9460666.0	1777184.0	1867.0	1064963.0	7864183.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_420_RNASeq_2kenkel	8859868.0	191719.0	928.0	542472.0	6129143.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_750_RNASeq_2kenkel	7987529.0	543007.0	545.0	401222.0	8980934.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_34_1140_RNASeq_2kenkel	10635593.0	995624.0	1485.0	692146.0	2524998.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_34_180_RNASeq_2kenkel	11785840.0	1190719.0	3547.0	846650.0	5816541.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_34_360_RNASeq_2kenkel	10064408.0	397327.0	5443.0	429230.0	3556684.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_34_420_RNASeq_2kenkel	9706451.0	178976.0	451.0	376677.0	8955694.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_34_750_RNASeq_2kenkel	6255488.0	1084113.0	1637.0	713427.0	4730610.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_37_1140_RNASeq_2kenkel	8479726.0	981268.0	4046.0	1049394.0	4895632.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_37_180_RNASeq_2kenkel	9073496.0	192528.0	6918.0	873387.0	5447748.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_37_360_RNASeq_2kenkel	9703234.0	223633.0	995.0	421470.0	3937532.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_37_420_RNASeq_2kenkel	9467231.0	5574395.0	11066.0	3599423.0	4723659.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_37_750_RNASeq_2kenkel	12675870.0	510633.0	2391.0	851203.0	6420853.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_39_1140_RNASeq_2kenkel	6891032.0	1005804.0	3375.0	1817502.0	9134646.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_39_180_RNASeq_2kenkel	8617614.0	264158.0	13988.0	940316.0	5450777.0	1529.0
20210610T1400_CBASS_US_MoteOff_Past_3_39_360_RNASeq_2kenkel	4938962.0	128407.0	858.0	1273873.0	8165556.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_39_420_RNASeq_2kenkel	10064632.0	471999.0	2239.0	1609807.0	9810379.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_39_750_RNASeq_2kenkel	16249197.0	10468967.0	8665.0	3507235.0	2436124.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_T0_0_RNASeq_2kenkel	14330494.0	348961.0	1874.0	401445.0	4123934.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_3_only_seq_RNASeq_2kenkel	11966835.0	310127.0	930.0	540700.0	6912671.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_30_1140_RNASeq_2kenkel	19011237.0	829208.0	1273.0	777207.0	5901997.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_30_180_RNASeq_2kenkel	13825592.0	157858.0	3238.0	375603.0	3519936.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_30_360_RNASeq_2kenkel	9720145.0	1063460.0	1113.0	729486.0	6107241.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_30_420_RNASeq_2kenkel	6341138.0	68922.0	212.0	190518.0	5457497.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_30_750_RNASeq_2kenkel	10825756.0	167944.0	435.0	389125.0	3360623.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_34_1140_RNASeq_2kenkel	11323533.0	1051739.0	1089.0	570320.0	2146997.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_34_180_RNASeq_2kenkel	10932726.0	170387.0	1967.0	354381.0	3365879.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_34_360_RNASeq_2kenkel	9015871.0	124277.0	672.0	385294.0	5823934.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_34_420_RNASeq_2kenkel	3840965.0	62363.0	523.0	298922.0	14480898.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_34_750_RNASeq_2kenkel	12326928.0	220415.0	661.0	383113.0	3726186.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_37_1140_RNASeq_2kenkel	7877003.0	1202021.0	2389.0	1315212.0	7742520.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_37_180_RNASeq_2kenkel	10601276.0	650671.0	1456.0	499323.0	7674427.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_37_360_RNASeq_2kenkel	12632547.0	170421.0	1764.0	883957.0	5653846.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_37_420_RNASeq_2kenkel	10480935.0	285511.0	4520.0	692342.0	6201053.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_37_750_RNASeq_2kenkel	10321120.0	819363.0	2399.0	980286.0	6335857.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_39_1140_RNASeq_2kenkel	5312591.0	2973069.0	3123.0	1320232.0	8426398.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_39_180_RNASeq_2kenkel	9563782.0	680601.0	1634.0	1250170.0	5106937.0	0.0
20210610T1400_CBASS_US_MoteOff_Past_4_39_360_RNASeq_2kenkel	8016256.0	148905.0	14747.0	1424130.0	7449819.0	1706.0
