Sample	Reads passing filters
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R2	25168994.0
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R1	19151594.0
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R2	19151594.0
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R1	23315208.0
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R2	23315208.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R1	21600957.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R2	21600957.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R1	18855104.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R2	18855104.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R1	17716982.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R2	17716982.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R1	15815209.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R2	15815209.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R1	18018591.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R2	18018591.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R1	34016451.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R2	34016451.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R1	15777523.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R2	15777523.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R1	16407876.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R2	16407876.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R1	15972601.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R2	15972601.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R1	23557706.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R2	23557706.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R1	17805877.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R2	17805877.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R1	15254731.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R2	15254731.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R1	15478465.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R2	15478465.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R1	16891122.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R2	16891122.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R1	11727168.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R2	11727168.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R1	19729821.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R2	19729821.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R1	23160298.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R2	23160298.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R1	14711794.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R2	14711794.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R1	20295287.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R2	20295287.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R1	20934101.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R2	20934101.0
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R1	19203754.0
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R2	19203754.0
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R1	19266273.0
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R2	19266273.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R1	26603637.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R2	26603637.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R1	20928055.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R2	20928055.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R1	16811119.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R2	16811119.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R1	14381474.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R2	14381474.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R1	15952371.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R2	15952371.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R1	21752138.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R2	21752138.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R1	17613389.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R2	17613389.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R1	18894212.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R2	18894212.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R1	17035672.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R2	17035672.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R1	18113118.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R2	18113118.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R1	19350999.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R2	19350999.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R1	17480245.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R2	17480245.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R1	17730953.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R2	17730953.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R1	13325042.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R2	13325042.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R1	20350035.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R2	20350035.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R1	19852042.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R2	19852042.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R1	20483182.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R2	20483182.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R1	15258264.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R2	15258264.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R1	9003667.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R2	9003667.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R1	19645725.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R2	19645725.0
20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R1	20654438.0
20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R2	20654438.0
20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R1	16645779.0
20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R2	16645779.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R1	21799117.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R2	21799117.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R1	13807436.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R2	13807436.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R1	22680673.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R2	22680673.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R1	10663994.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R2	10663994.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_750_RNASeq_R1	21954689.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_750_RNASeq_R2	21954689.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_1140_RNASeq_R1	22988282.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_1140_RNASeq_R2	22988282.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_180_RNASeq_R1	15614902.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_180_RNASeq_R2	15614902.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_360_RNASeq_R1	18590652.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_360_RNASeq_R2	18590652.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_420_RNASeq_R1	22665325.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_420_RNASeq_R2	22665325.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_750_RNASeq_R1	16345147.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_750_RNASeq_R2	16345147.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_1140_RNASeq_R1	14993854.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_1140_RNASeq_R2	14993854.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_180_RNASeq_R1	20740891.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_180_RNASeq_R2	20740891.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_360_RNASeq_R1	13542635.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_360_RNASeq_R2	13542635.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_420_RNASeq_R1	17557729.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_420_RNASeq_R2	17557729.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_750_RNASeq_R1	16838668.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_750_RNASeq_R2	16838668.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_1140_RNASeq_R1	16306519.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_1140_RNASeq_R2	16306519.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_180_RNASeq_R1	15041362.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_180_RNASeq_R2	15041362.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_360_RNASeq_R1	13164440.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_360_RNASeq_R2	13164440.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_420_RNASeq_R1	15472773.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_420_RNASeq_R2	15472773.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_750_RNASeq_R1	28660127.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_750_RNASeq_R2	28660127.0
20210610T1400_CBASS_US_MoteOff_Past_1_T0_0_RNASeq_R1	16772894.0
20210610T1400_CBASS_US_MoteOff_Past_1_T0_0_RNASeq_R2	16772894.0
20210610T1400_CBASS_US_MoteOff_Past_1_only_seq_RNASeq_R1	19510975.0
20210610T1400_CBASS_US_MoteOff_Past_1_only_seq_RNASeq_R2	19510975.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_1140_RNASeq_R1	21065196.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_1140_RNASeq_R2	21065196.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_180_RNASeq_R1	18723572.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_180_RNASeq_R2	18723572.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_360_RNASeq_R1	18360974.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_360_RNASeq_R2	18360974.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_420_RNASeq_R1	17236670.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_420_RNASeq_R2	17236670.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_750_RNASeq_R1	20661724.0
20210610T1400_CBASS_US_MoteOff_Past_2_30_750_RNASeq_R2	20661724.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_1140_RNASeq_R1	15403927.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_1140_RNASeq_R2	15403927.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_180_RNASeq_R1	16972460.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_180_RNASeq_R2	16972460.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_360_RNASeq_R1	20995237.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_360_RNASeq_R2	20995237.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_420_RNASeq_R1	18607000.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_420_RNASeq_R2	18607000.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_750_RNASeq_R1	15671042.0
20210610T1400_CBASS_US_MoteOff_Past_2_34_750_RNASeq_R2	15671042.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_1140_RNASeq_R1	13957328.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_1140_RNASeq_R2	13957328.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_180_RNASeq_R1	17707398.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_180_RNASeq_R2	17707398.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_360_RNASeq_R1	12828318.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_360_RNASeq_R2	12828318.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_420_RNASeq_R1	15342280.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_420_RNASeq_R2	15342280.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_750_RNASeq_R1	24946278.0
20210610T1400_CBASS_US_MoteOff_Past_2_37_750_RNASeq_R2	24946278.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_1140_RNASeq_R1	16297605.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_1140_RNASeq_R2	16297605.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_180_RNASeq_R1	19979754.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_180_RNASeq_R2	19979754.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_360_RNASeq_R1	14457457.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_360_RNASeq_R2	14457457.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_420_RNASeq_R1	20093618.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_420_RNASeq_R2	20093618.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_750_RNASeq_R1	23123038.0
20210610T1400_CBASS_US_MoteOff_Past_2_39_750_RNASeq_R2	23123038.0
20210610T1400_CBASS_US_MoteOff_Past_2_T0_0_RNASeq_R1	22064006.0
20210610T1400_CBASS_US_MoteOff_Past_2_T0_0_RNASeq_R2	22064006.0
20210610T1400_CBASS_US_MoteOff_Past_2_only_seq_RNASeq_R1	19200823.0
20210610T1400_CBASS_US_MoteOff_Past_2_only_seq_RNASeq_R2	19200823.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_1140_RNASeq_R1	19518836.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_1140_RNASeq_R2	19518836.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_180_RNASeq_R1	17949148.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_180_RNASeq_R2	17949148.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_360_RNASeq_R1	20184585.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_360_RNASeq_R2	20184585.0
20210610T1400_CBASS_US_MoteOff_Past_3_30_420_RNASeq_R1	15726560.0
