Sample	Unique Reads	Duplicate Reads
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R1_val_1	439910.0	25466094.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R2_val_2	761012.0	25144992.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R1_val_1	1249250.0	15832991.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R2_val_2	1515810.0	15566431.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R1_val_1	491551.0	13577921.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R2_val_2	698355.0	13371117.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R1_val_1	3757812.0	16053296.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R2_val_2	4003841.0	15807267.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R1_val_1	3150596.0	20167328.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R2_val_2	3349718.0	19968206.0
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R1_val_1	3629902.0	17433555.0
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R2_val_2	3874129.0	17189328.0
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R1_val_1	1011255.0	16534778.0
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R2_val_2	1177315.0	16368718.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R1_val_1	3046641.0	23861118.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R2_val_2	3481922.0	23425837.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R1_val_1	362624.0	13069044.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R2_val_2	442523.0	12989145.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R1_val_1	1701437.0	16409385.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R2_val_2	1857980.0	16252842.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R1_val_1	1323239.0	15973429.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R2_val_2	1546695.0	15749973.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R1_val_1	2872041.0	14964785.0
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R2_val_2	3078609.0	14758217.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R1_val_1	3638136.0	20364297.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R2_val_2	4004662.0	19997771.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R1_val_1	1318155.0	18215009.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R2_val_2	1439971.0	18093193.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R1_val_1	443416.0	15322851.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R2_val_2	570836.0	15195431.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R1_val_1	911683.0	15168223.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R2_val_2	1067810.0	15012096.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R1_val_1	1217934.0	18756584.0
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R2_val_2	1416439.0	18558079.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R1_val_1	3571815.0	12445271.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R2_val_2	3783828.0	12233258.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R1_val_1	580251.0	21170308.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R2_val_2	720826.0	21029733.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R1_val_1	2906119.0	13610656.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R2_val_2	3006934.0	13509841.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R1_val_1	4277419.0	19025048.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R2_val_2	4575175.0	18727292.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R1_val_1	4302429.0	11088457.0
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R2_val_2	4441688.0	10949198.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R1_val_1	594148.0	27551415.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R2_val_2	945072.0	27200491.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R1_val_1	518996.0	11377044.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R2_val_2	583278.0	11312762.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R1_val_1	554521.0	4876314.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R2_val_2	612031.0	4818804.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R1_val_1	1248208.0	16339120.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R2_val_2	1438664.0	16148664.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R1_val_1	2054411.0	23106623.0
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R2_val_2	2488103.0	22672931.0
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R1_val_1	2321485.0	16825201.0
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R2_val_2	2508519.0	16638167.0
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R1_val_1	2448471.0	20863050.0
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R2_val_2	2637443.0	20674078.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R1_val_1	4517121.0	17079525.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R2_val_2	4823287.0	16773359.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R1_val_1	1185004.0	17667007.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R2_val_2	1331916.0	17520095.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R1_val_1	691294.0	17024247.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R2_val_2	820479.0	16895062.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R1_val_1	1339595.0	14472108.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R2_val_2	1505208.0	14306495.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R1_val_1	450491.0	17564317.0
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R2_val_2	779997.0	17234811.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R1_val_1	597552.0	33404988.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R2_val_2	1072758.0	32929782.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R1_val_1	429318.0	15344877.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R2_val_2	481366.0	15292829.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R1_val_1	573599.0	15830208.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R2_val_2	757776.0	15646031.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R1_val_1	1583443.0	14385838.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R2_val_2	1768526.0	14200755.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R1_val_1	1072057.0	22482188.0
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R2_val_2	1334986.0	22219259.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R1_val_1	2587816.0	15211336.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R2_val_2	2820831.0	14978321.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R1_val_1	1147502.0	14104466.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R2_val_2	1221092.0	14030876.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R1_val_1	2568124.0	12908349.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R2_val_2	2740616.0	12735857.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R1_val_1	3868685.0	13018741.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R2_val_2	4100711.0	12786715.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R1_val_1	3715883.0	8009156.0
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R2_val_2	3867814.0	7857225.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R1_val_1	970708.0	18741233.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R2_val_2	1215851.0	18496090.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R1_val_1	384581.0	22739663.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R2_val_2	453163.0	22671081.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R1_val_1	597330.0	14110286.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R2_val_2	854778.0	13852838.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R1_val_1	579300.0	19703567.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R2_val_2	775886.0	19506981.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R1_val_1	1977068.0	18946133.0
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R2_val_2	2170589.0	18752612.0
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R1_val_1	1013880.0	18186128.0
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R2_val_2	1085888.0	18114120.0
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R1_val_1	1007350.0	18257252.0
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R2_val_2	1172997.0	18091605.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R1_val_1	3715158.0	22884063.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R2_val_2	4089479.0	22509742.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R1_val_1	951211.0	19970936.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R2_val_2	1096482.0	19825665.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R1_val_1	514069.0	16242545.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R2_val_2	639822.0	16116792.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R1_val_1	1766888.0	12611627.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R2_val_2	1916516.0	12461999.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R1_val_1	1008154.0	14941699.0
20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R2_val_2	1182883.0	14766970.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R1_val_1	1784086.0	19962556.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R2_val_2	2004616.0	19742026.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R1_val_1	3145624.0	14464831.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R2_val_2	3244819.0	14365636.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R1_val_1	2629395.0	16262291.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R2_val_2	2782519.0	16109167.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R1_val_1	3037896.0	13993957.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R2_val_2	3203978.0	13827875.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R1_val_1	2799020.0	15311338.0
20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R2_val_2	3037619.0	15072739.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R1_val_1	1621195.0	17723971.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R2_val_2	1861738.0	17483428.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R1_val_1	1147483.0	16330757.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R2_val_2	1283382.0	16194858.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R1_val_1	1521689.0	16206426.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R2_val_2	1685896.0	16042219.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R1_val_1	2089904.0	11232042.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R2_val_2	2221709.0	11100237.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R1_val_1	4167333.0	16179124.0
20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R2_val_2	4363850.0	15982607.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R1_val_1	265974.0	19558960.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R2_val_2	513393.0	19311541.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R1_val_1	532075.0	19942467.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R2_val_2	633664.0	19840878.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R1_val_1	614135.0	14627627.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R2_val_2	912375.0	14329387.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R1_val_1	208538.0	8755814.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R2_val_2	366786.0	8597566.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R1_val_1	2261056.0	17374869.0
20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R2_val_2	2401154.0	17234771.0
20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R1_val_1	4442781.0	16209470.0
20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R2_val_2	4634102.0	16018149.0
20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R1_val_1	1306207.0	15325268.0
20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R2_val_2	1460886.0	15170589.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R1_val_1	683044.0	21109139.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R2_val_2	984956.0	20807227.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R1_val_1	1255605.0	12549426.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R2_val_2	1451679.0	12353352.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R1_val_1	565048.0	22097750.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R2_val_2	744901.0	21917897.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R1_val_1	375087.0	10284552.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R2_val_2	557063.0	10102576.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_750_RNASeq_R1_val_1	539559.0	21405960.0
20210610T1400_CBASS_US_MoteOff_Past_1_30_750_RNASeq_R2_val_2	826861.0	21118658.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_1140_RNASeq_R1_val_1	2110275.0	20874559.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_1140_RNASeq_R2_val_2	2325814.0	20659020.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_180_RNASeq_R1_val_1	379923.0	15229411.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_180_RNASeq_R2_val_2	590005.0	15019329.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_360_RNASeq_R1_val_1	564691.0	18013428.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_360_RNASeq_R2_val_2	728401.0	17849718.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_420_RNASeq_R1_val_1	518246.0	22109452.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_420_RNASeq_R2_val_2	857674.0	21770024.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_750_RNASeq_R1_val_1	479205.0	15861258.0
20210610T1400_CBASS_US_MoteOff_Past_1_34_750_RNASeq_R2_val_2	786319.0	15554144.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_1140_RNASeq_R1_val_1	1758677.0	13231477.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_1140_RNASeq_R2_val_2	1916341.0	13073813.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_180_RNASeq_R1_val_1	398771.0	20327268.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_180_RNASeq_R2_val_2	706285.0	20019754.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_360_RNASeq_R1_val_1	417072.0	13109108.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_360_RNASeq_R2_val_2	622179.0	12904001.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_420_RNASeq_R1_val_1	1054767.0	16498976.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_420_RNASeq_R2_val_2	1269172.0	16284571.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_750_RNASeq_R1_val_1	985969.0	15848835.0
20210610T1400_CBASS_US_MoteOff_Past_1_37_750_RNASeq_R2_val_2	1262749.0	15572055.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_1140_RNASeq_R1_val_1	1762868.0	14538738.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_1140_RNASeq_R2_val_2	1948230.0	14353376.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_180_RNASeq_R1_val_1	470025.0	14566632.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_180_RNASeq_R2_val_2	637621.0	14399036.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_360_RNASeq_R1_val_1	754100.0	12405093.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_360_RNASeq_R2_val_2	864826.0	12294367.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_420_RNASeq_R1_val_1	2323275.0	13146313.0
20210610T1400_CBASS_US_MoteOff_Past_1_39_420_RNASeq_R2_val_2	2538017.0	12931571.0
