Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17968322.0	0.0	20-150	48.0	14.509462174617713	146.8949557448937	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17968322.0	0.0	20-150	48.0	15.325674452686485	146.85480697641106	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17767628.0	0.0	20-150	47.0	22.685020477324244	148.44460284738065	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17767628.0	0.0	20-150	46.0	23.63046901005566	148.39919464770423	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21498592.0	0.0	20-150	47.0	16.951647136078577	148.16633568375082	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21498592.0	0.0	20-150	47.0	18.072321497222894	148.11824058059244	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16752901.0	0.0	20-150	48.0	18.988771579049903	148.54725065229002	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16752901.0	0.0	20-150	48.0	19.709599135288187	148.51195813787714	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14814877.0	0.0	20-150	50.0	4.128245511296965	144.44523690611808	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14814877.0	0.0	20-150	50.0	5.354939090952046	144.4578121033337	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19817372.0	0.0	20-150	48.0	4.0932008566223725	121.68744796232316	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19817372.0	0.0	20-150	47.0	4.622463037667847	121.66124837339683	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16607628.0	0.0	20-150	49.0	5.168794823861145	148.71941670417954	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16607628.0	0.0	20-150	49.0	6.521729898355208	148.66591550581455	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13527318.0	0.0	20-150	46.0	14.808343360837132	148.3151213714352	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13527318.0	0.0	20-150	46.0	16.386435936295275	148.33209635494634	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17778065.0	0.0	20-150	49.0	5.805853899765535	146.9286716523986	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17778065.0	0.0	20-150	49.0	7.02400947111306	146.89002053935567	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20760705.0	0.0	20-150	49.0	2.111472536140956	110.64506735199984	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20760705.0	0.0	20-150	49.0	3.1709018191906497	110.61208696910823	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16415592.0	0.0	20-150	43.0	14.436780696527423	139.93849018664693	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16415592.0	0.0	20-150	43.0	15.180274216468037	139.90621453067303	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14756220.0	0.0	20-150	43.0	8.40548294084137	148.11280971685161	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14756220.0	0.0	20-150	43.0	10.006155723853581	148.00111905352455	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18827662.0	0.0	20-150	45.0	4.345976547253291	145.33311565716446	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18827662.0	0.0	20-150	46.0	5.306377339246853	145.29774907792589	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17640652.0	0.0	20-150	31.0	27.127076232048424	147.9563167506507	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17640652.0	0.0	20-150	31.0	27.643577043290655	147.81422687778206	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21082848.0	0.0	20-150	48.0	12.182366150083872	146.41162688266783	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21082848.0	0.0	20-150	48.0	12.991489030783585	146.365422973215	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23783430.0	0.0	20-150	48.0	17.864937828458217	147.89592590303417	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23783430.0	0.0	20-150	47.0	18.86985700909619	147.8383823107096	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14865639.0	0.0	20-150	46.0	45.182996809027074	148.5112980343462	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14865639.0	0.0	20-150	46.0	46.05841113457955	148.4702087814725	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18889385.0	0.0	20-150	50.0	4.306343427718042	141.51636329081123	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18889385.0	0.0	20-150	50.0	5.03246503337274	141.47165103575367	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16181882.0	0.0	20-150	48.0	14.215050885107155	148.2787879061286	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16181882.0	0.0	20-150	48.0	15.13373849714382	148.23726560359296	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18813515.0	0.0	20-150	49.0	4.5877811193633615	148.5047922730016	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18813515.0	0.0	20-150	49.0	5.725170468234097	148.45203535862385	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11251931.0	0.0	20-150	49.0	9.720740701100437	148.5629349309021	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11251931.0	0.0	20-150	49.0	11.117874578936851	148.5147992820077	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18636511.0	0.0	20-150	49.0	12.954675297019358	148.6841468877946	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18636511.0	0.0	20-150	49.0	14.34200595102309	148.63209063112726	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19937375.0	0.0	20-150	49.0	6.62906633944293	144.09838893033813	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19937375.0	0.0	20-150	49.0	7.1684533918525055	144.05877539044133	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15282245.0	0.0	20-150	50.0	3.5529393402912985	148.36535528647786	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15282245.0	0.0	20-150	50.0	4.436849368114277	148.32646957302413	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15359771.0	0.0	20-150	49.0	10.362764624816844	148.25333027425995	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15359771.0	0.0	20-150	49.0	11.639650494682495	148.20978170833408	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16703726.0	0.0	20-150	49.0	12.568353145755559	148.3928379213117	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16703726.0	0.0	20-150	49.0	14.04305018577759	148.38333441293278	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18027532.0	0.0	20-150	51.0	3.6480981776124857	147.22461177714177	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18027532.0	0.0	20-150	51.0	4.574555834182494	147.23156569629165	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16747162.0	0.0	20-150	47.0	15.444803575868118	145.28048256773297	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16747162.0	0.0	20-150	47.0	16.1308641305023	145.2433204503545	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17188692.0	0.0	20-150	48.0	9.240724549052468	148.59330477269592	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17188692.0	0.0	20-150	48.0	9.937993359570685	148.54768350029192	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19463543.0	0.0	20-150	49.0	10.158128128657841	148.37827840491323	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19463543.0	0.0	20-150	49.0	11.41136303998847	148.33960230159533	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19766991.0	0.0	20-150	49.0	8.525712750716954	148.54631557225883	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19766991.0	0.0	20-150	48.0	10.240834206682274	148.5508221256336	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25906004.0	0.0	20-150	54.0	1.698097535991444	108.3756308383184	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25906004.0	0.0	20-150	54.0	2.937587814422223	108.36703437550615	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
