Tank,Rep,Temp,Genotype,Y
19,3,30.2,CU12,0.582
24,3,28.9,CU12,0.575
22,3,27.5,CU12,0.573
17,3,37,CU19,0
20,3,35.6,CU19,0.091
18,3,34.4,CU19,0.359
23,3,32.9,CU19,0.493
21,3,31.6,CU19,0.549
19,3,30.2,CU19,0.574
24,3,28.9,CU19,0.564
22,3,27.5,CU19,0.56
17,3,37,CU70,0
20,3,35.6,CU70,0.14
18,3,34.4,CU70,0.418
23,3,32.9,CU70,0.498
21,3,31.6,CU70,0.57
19,3,30.2,CU70,0.586
24,3,28.9,CU70,0.567
22,3,27.5,CU70,0.589
17,3,37,CU76,0
20,3,35.6,CU76,0.089
18,3,34.4,CU76,0.431
23,3,32.9,CU76,0.543
21,3,31.6,CU76,0.579
19,3,30.2,CU76,0.602
24,3,28.9,CU76,0.597
22,3,27.5,CU76,0.583
17,3,37,CU80,0
20,3,35.6,CU80,0.119
18,3,34.4,CU80,0.316
23,3,32.9,CU80,0.52
21,3,31.6,CU80,0.573
19,3,30.2,CU80,0.573
24,3,28.9,CU80,0.589
22,3,27.5,CU80,0.577
